date,task_title,completed,category,priority,time_spent_minutes,difficulty,notes
2024-11-01,"Complete Data Structures Assignment",false,academic,high,45,hard,"Got stuck on linked lists - need help"
2024-11-01,"Attend morning lecture",true,academic,high,90,easy,"Algorithms class - took notes"
2024-11-01,"Exercise for 30 mins",false,health,medium,0,medium,"Too tired after studying"
2024-11-01,"Read programming book",false,skill,medium,0,medium,"Didn't have time"
2024-11-01,"Plan tomorrow's schedule",false,productivity,low,0,easy,"Forgot to do this"
2024-11-02,"Submit pending lab report",true,academic,high,120,medium,"Finally completed - was overdue"
2024-11-02,"Practice coding problems",false,skill,high,30,hard,"Only did 1 problem, got frustrated"
2024-11-02,"Attend project meeting",true,academic,high,60,medium,"Team discussion about web app"
2024-11-02,"Call parents",true,personal,low,20,easy,"Quick catch up call"
2024-11-02,"Meal prep for tomorrow",false,health,medium,0,easy,"Ordered takeout instead"
2024-11-03,"Morning jog",false,health,medium,0,medium,"Overslept again"
2024-11-03,"Complete math homework",true,academic,high,90,hard,"Struggled but finished"
2024-11-03,"Learn React basics",true,skill,medium,60,medium,"Watched YouTube tutorial"
2024-11-03,"Organize study notes",false,productivity,low,0,easy,"Room is still messy"
2024-11-03,"Social media break",true,personal,low,15,easy,"Limited to 15 mins only"
2024-11-04,"Attend all classes",true,academic,high,270,easy,"Good attendance day"
2024-11-04,"Work on group project",true,academic,high,90,medium,"Made good progress with team"
2024-11-04,"Practice guitar",false,hobby,low,0,easy,"No time after studies"
2024-11-04,"Review class notes",true,productivity,medium,45,easy,"Reviewed algorithms notes"
2024-11-04,"Drink 8 glasses water",false,health,low,0,easy,"Only had 4-5 glasses"
2024-11-05,"Weekend coding practice",true,skill,high,120,hard,"Solved 3 LeetCode problems"
2024-11-05,"Clean room",true,personal,medium,60,easy,"Finally organized everything"
2024-11-05,"Video call with friends",true,social,medium,90,easy,"Much needed social time"
2024-11-05,"Plan next week",true,productivity,medium,30,easy,"Used calendar app for first time"
2024-11-05,"Watch educational video",true,skill,low,45,easy,"System design basics"
2024-11-06,"Sleep by 11 PM",false,health,high,0,easy,"Stayed up until 1 AM studying"
2024-11-06,"Morning meditation",false,wellness,low,0,easy,"Forgot to do this"
2024-11-06,"Complete pending assignments",true,academic,high,180,hard,"Caught up on 2 subjects"
2024-11-06,"Learn Git basics",true,skill,medium,75,medium,"Finally understand version control"
2024-11-06,"Grocery shopping",true,personal,medium,45,easy,"Bought healthy snacks"
2024-11-07,"Attend career seminar",true,career,high,120,easy,"Good insights about industry"
2024-11-07,"Practice public speaking",false,skill,medium,0,medium,"Too shy to practice"
