date,power_system_category,todo_title,completed,difficulty_level,energy_required,impact_level,notes
2024-11-01,brain,"Read 10 pages of algorithms book",false,medium,high,medium,"Too tired after classes, need better time management"
2024-11-01,muscle,"Do 20 push-ups",false,easy,medium,low,"Skipped due to late night studying"
2024-11-01,money,"Track daily expenses",false,easy,low,high,"Forgot to write down expenses, need habit"
2024-11-02,brain,"Complete data structures practice problems",true,hard,high,high,"Struggled but solved 2 out of 5 problems"
2024-11-02,muscle,"30 minute walk",true,easy,low,medium,"Felt good after fresh air and movement"
2024-11-02,money,"Research scholarship opportunities",false,medium,medium,high,"Got distracted by social media"
2024-11-03,brain,"Watch programming tutorial",true,medium,medium,medium,"Learned React basics, felt more confident"
2024-11-03,muscle,"Bodyweight workout routine",false,medium,high,medium,"Room too messy, felt unmotivated"
2024-11-03,money,"Create monthly budget",false,hard,medium,high,"Don't know where to start, need guidance"
2024-11-04,brain,"Attend optional programming workshop",true,medium,medium,high,"Great networking opportunity, learned new concepts"
2024-11-04,muscle,"Take stairs instead of elevator",true,easy,low,low,"Small but consistent healthy choice"
2024-11-04,money,"Cook meal instead of ordering",true,easy,medium,medium,"Saved money and felt accomplished"
2024-11-05,brain,"Work on personal coding project",true,hard,high,high,"Built basic todo app, felt really proud"
2024-11-05,muscle,"Organized room and workspace",true,medium,medium,medium,"Cleared mind and space, felt productive"
2024-11-05,money,"Compare prices before purchase",true,easy,low,medium,"Saved 15% on textbook by shopping around"
2024-11-06,brain,"Review and organize class notes",true,medium,medium,high,"Better prepared for upcoming tests"
2024-11-06,muscle,"Stretch routine before bed",false,easy,low,low,"Forgot in rush to finish assignment"
2024-11-06,money,"Look for part-time work opportunities",false,medium,medium,high,"Felt overwhelmed by application process"
2024-11-07,brain,"Join study group for difficult subject",true,medium,medium,high,"Great support system, learned collaborative skills"
2024-11-07,muscle,"Choose healthy snack over junk food",true,easy,low,medium,"Small win that felt significant"
2024-11-07,money,"Set up automatic savings transfer",false,hard,low,high,"Need to research best savings accounts first"
2024-11-08,brain,"Practice explaining concepts to others",true,medium,medium,high,"Helped roommate, reinforced my own learning"
2024-11-08,muscle,"Bike to campus instead of bus",true,medium,medium,medium,"Saved money and got exercise, felt energized"
2024-11-08,money,"Track weekly spending vs budget",true,easy,low,high,"Shocked by how much I spend on coffee"
2024-11-09,brain,"Complete online course module",true,medium,high,medium,"Database concepts starting to click"
2024-11-09,muscle,"Do desk exercises during study breaks",true,easy,low,low,"Helped with focus and energy during long study session"
2024-11-09,money,"Research investment basics",false,hard,medium,low,"Too complex right now, focus on budgeting first"
2024-11-10,brain,"Build feature for personal project",true,hard,high,high,"Added user authentication, learned a lot"
2024-11-10,muscle,"Clean and organize living space",true,medium,medium,medium,"Physical environment affects mental clarity"
2024-11-10,money,"Plan next week's meals to save money",true,medium,medium,high,"Prevented impulse food purchases"
2024-11-11,brain,"Read tech industry articles",true,easy,low,medium,"Stayed current with trends, felt more informed"
2024-11-11,muscle,"Morning stretching routine",true,easy,low,medium,"Started day with energy and focus"
2024-11-11,money,"Use student discounts for purchases",true,easy,low,medium,"Saved 20% on software subscription"
2024-11-12,brain,"Practice whiteboard coding",true,hard,high,high,"Prepared for future interviews, built confidence"
2024-11-12,muscle,"Walk to library instead of driving",true,easy,low,low,"Combined transport with light exercise"
2024-11-12,money,"Review and categorize expenses",true,medium,medium,high,"Identified spending patterns and waste"
2024-11-13,brain,"Contribute to open source project",true,hard,high,high,"First GitHub contribution, felt like real developer"
2024-11-13,muscle,"Take regular breaks during study",true,easy,low,medium,"Prevented eye strain and mental fatigue"
2024-11-13,money,"Research textbook alternatives",true,medium,low,high,"Found free online versions, saved $200"
2024-11-14,brain,"Practice explaining technical concepts",true,medium,medium,high,"Helped friend with coding, reinforced learning"
2024-11-14,muscle,"Choose water over sugary drinks",true,easy,low,low,"Small consistent health choice"
2024-11-14,money,"Set financial goals for semester",true,medium,medium,high,"Clear targets for saving and spending"
2024-11-15,brain,"Complete challenging algorithm problem",true,hard,high,high,"Breakthrough moment, felt capable of hard problems"
2024-11-15,muscle,"Use standing desk option in library",true,easy,low,low,"Better posture during long study sessions"
2024-11-15,money,"Negotiate better phone plan",false,medium,medium,medium,"Need to research options and build courage"
2024-11-16,brain,"Learn new programming concept",true,medium,medium,medium,"Docker basics, expanding technical knowledge"
2024-11-16,muscle,"Do laundry and organize clothes",true,medium,medium,low,"Maintaining personal hygiene and organization"
2024-11-16,money,"Cook healthy meal from scratch",true,medium,medium,high,"Saved money and learned valuable skill"
2024-11-17,brain,"Review and document learnings",true,medium,medium,high,"Created knowledge base for future reference"
2024-11-17,muscle,"Sunday meal prep for the week",true,hard,high,high,"Set up success for healthy eating all week"
2024-11-17,money,"Plan and stick to weekend budget",true,medium,low,medium,"Enjoyed social time without overspending"
2024-11-18,brain,"Start new technical book",true,medium,medium,medium,"System design concepts, expanding knowledge"
2024-11-18,muscle,"Morning workout routine",true,medium,high,medium,"Consistent exercise habit building"
2024-11-18,money,"Track daily expenses in app",true,easy,low,high,"Building awareness of spending patterns"
2024-11-19,brain,"Complete online coding challenge",true,hard,high,high,"Ranked in top 20%, confidence boost"
2024-11-19,muscle,"Take stairs for entire day",true,easy,low,low,"Micro-habit for fitness integration"
2024-11-19,money,"Find free entertainment options",true,medium,low,medium,"Discovered free campus events and activities"
2024-11-20,brain,"Teach concept to study group",true,medium,medium,high,"Solidified understanding through teaching"
2024-11-20,muscle,"Evening walk after dinner",true,easy,low,medium,"Helped with digestion and stress relief"
2024-11-20,money,"Comparison shop for necessities",true,medium,low,medium,"Found better deals on school supplies"
2024-11-21,brain,"Build new feature for project",true,hard,high,high,"Database integration, major technical growth"
2024-11-21,muscle,"Stretch routine during study breaks",true,easy,low,medium,"Prevented stiffness from long sitting"
2024-11-21,money,"Review and adjust budget",true,medium,medium,high,"Optimized spending categories based on data"
2024-11-22,brain,"Read research papers in field",true,hard,medium,medium,"Exposed to cutting-edge ideas and methods"
2024-11-22,muscle,"Active weekend activity",true,medium,medium,medium,"Played outdoor games with friends"
2024-11-22,money,"Research summer internship pay rates",true,medium,low,medium,"Better understanding of career financial prospects"
2024-11-23,brain,"Work on advanced coding project",true,hard,high,high,"Microservices architecture, major learning"
2024-11-23,muscle,"Organize and clean workspace",true,medium,medium,medium,"Physical organization supports mental clarity"
2024-11-23,money,"Plan holiday spending budget",true,medium,medium,high,"Prevented overspending during social season"
2024-11-24,brain,"Learn industry-relevant skill",true,medium,medium,high,"Cloud platforms, marketable skill development"
2024-11-24,muscle,"Morning yoga or stretching",true,easy,low,medium,"Started day with flexibility and calm"
2024-11-24,money,"Cook special meal instead of eating out",true,medium,medium,high,"Celebrated achievement without breaking budget"
2024-11-25,brain,"Practice technical interview questions",true,hard,high,high,"Prepared for real opportunities, built confidence"
2024-11-25,muscle,"Walk to all campus destinations",true,easy,low,low,"Integrated movement into daily routine"
2024-11-25,money,"Review progress toward financial goals",true,medium,low,high,"On track with savings, ahead of spending targets"
2024-11-26,brain,"Contribute to team project leadership",true,medium,medium,high,"Developed leadership and collaboration skills"
2024-11-26,muscle,"Maintain good posture all day",true,easy,low,low,"Conscious effort to prevent future problems"
2024-11-26,money,"Use coupons and student discounts",true,easy,low,medium,"Maximized savings on regular purchases"
2024-11-27,brain,"Learn new development framework",true,hard,high,medium,"Next.js skills, expanding technical capabilities"
2024-11-27,muscle,"Evening relaxation routine",true,easy,low,medium,"Unwound properly after intense study day"
2024-11-27,money,"Research scholarship applications",true,medium,medium,high,"Found 3 opportunities to apply for next semester"
2024-11-28,brain,"Complete complex algorithm challenge",true,hard,high,high,"Dynamic programming mastery, major breakthrough"
2024-11-28,muscle,"Consistent sleep schedule",true,medium,low,high,"Better energy and focus from regular sleep"
2024-11-28,money,"Create holiday gift budget",true,medium,medium,medium,"Thoughtful giving without financial stress"
2024-11-29,brain,"Mentor junior student in programming",true,medium,medium,high,"Teaching reinforced learning, felt confident"
2024-11-29,muscle,"Healthy meal preparation",true,medium,medium,high,"Nutrition supporting energy and focus"
2024-11-29,money,"Track progress on financial goals",true,easy,low,high,"Exceeded savings goal, ahead of targets"
2024-11-30,brain,"Reflect on month's learning progress",true,medium,low,high,"Documented growth and planned next steps"
2024-11-30,muscle,"Celebrate fitness improvements",true,easy,low,medium,"Noticed increased energy and strength"
2024-11-30,money,"Plan December financial goals",true,medium,medium,high,"Set ambitious but achievable targets for next month"
